"Apptrian Extensions","Apptrian Extensions"
"<strong>This option must be set to ""Yes"".</strong> Facebook Server-Side API does not allow any other parameter inside <strong>contents</strong> except for <strong>id</strong>, <strong>quantity</strong>, and <strong>item_price</strong>. If the <strong>contents</strong> have only one element this option will try to move disallowed parameters outside <strong>contents</strong>. If the <strong>contents</strong> have more than one element then disallowed parameters will be removed from the <strong>contents</strong>.","<strong>This option must be set to ""Yes"".</strong> Facebook Server-Side API does not allow any other parameter inside <strong>contents</strong> except for <strong>id</strong>, <strong>quantity</strong>, and <strong>item_price</strong>. If the <strong>contents</strong> have only one element this option will try to move disallowed parameters outside <strong>contents</strong>. If the <strong>contents</strong> have more than one element then disallowed parameters will be removed from the <strong>contents</strong>."
"Try to detect selected SKU for downloadable, simple, virtual, etc. <strong>See the tooltip.</strong>","Try to detect selected SKU for downloadable, simple, virtual, etc. <strong>See the tooltip.</strong>"
"Unlike client-side detection server-side detection is not dependent on a theme and its customization. It is more reliable and precise.","Unlike client-side detection server-side detection is not dependent on a theme and its customization. It is more reliable and precise."
"Try to detect selected SKUs for bundle products. <strong>See the tooltip.</strong>","Try to detect selected SKUs for bundle products. <strong>See the tooltip.</strong>"
"Try to detect selected SKU for configurable products. <strong>See the tooltip.</strong>","Try to detect selected SKU for configurable products. <strong>See the tooltip.</strong>"
"Try to detect selected SKUs for grouped products. <strong>See the tooltip.</strong>","Try to detect selected SKUs for grouped products. <strong>See the tooltip.</strong>"
"Category (Category Page)","Category (Category Page)"
"Add Category-Related Code To","Add Category-Related Code To"
"Type page handles (full action names) where you want category-related code. <strong>See the tooltip.</strong>","Type page handles (full action names) where you want category-related code. <strong>See the tooltip.</strong>"
"The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_category_view<br />In this option you would type all handles where you want to add category-related code.<br /><strong>This option only works for category page handles where category object is set.</strong>","The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_category_view<br />In this option you would type all handles where you want to add category-related code.<br /><strong>This option only works for category page handles where category object is set.</strong>"
"Event Name","Event Name"
"Type <strong>event name</strong> you want to use for category tracking. See the tooltip.","Type <strong>event name</strong> you want to use for category tracking. See the tooltip."
"The proper event should be <strong>ViewCategory</strong> but Facebook specification does not have this (yet) as standard event. You can use <strong>ViewContent</strong>. Leave this option to empty if you want only <strong>PageView</strong> event on category pages. Recommendation is to set this option to empty or use <strong>ViewCategory</strong> as custom event.","The proper event should be <strong>ViewCategory</strong> but Facebook specification does not have this (yet) as standard event. You can use <strong>ViewContent</strong>. Leave this option to empty if you want only <strong>PageView</strong> event on category pages. Recommendation is to set this option to empty or use <strong>ViewCategory</strong> as custom event."
"Category Parameters to Attributes Mapping","Category Parameters to Attributes Mapping"
"If you want to add custom parameters to categories. Please see the tooltip.","If you want to add custom parameters to categories. Please see the tooltip."
"Example: gpc=gpc|color=color<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Facebook Pixel parameter and Magento category attribute are connected by = sign and pairs are separated by | sign.","Example: gpc=gpc|color=color<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Facebook Pixel parameter and Magento category attribute are connected by = sign and pairs are separated by | sign."
"Product (Product Page - AddToCart, AddToWishlist, ViewContent Events)","Product (Product Page - AddToCart, AddToWishlist, ViewContent Events)"
"Add Product-Related Code To","Add Product-Related Code To"
"Type page handles (full action names) where you want product-related code. <strong>See the tooltip.</strong>","Type page handles (full action names) where you want product-related code. <strong>See the tooltip.</strong>"
"The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want to add product-related code.<br /><strong>This option only works for product page handles where current_product is set in the registry.</strong>","The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, catalog_product_view<br />In this option you would type all handles where you want to add product-related code.<br /><strong>This option only works for product page handles where current_product is set in the registry.</strong>"
"For Bundle Products Use","For Bundle Products Use"
"Select SKU you want to use for bundle products. See the tooltip.","Select SKU you want to use for bundle products. See the tooltip."
"Examples with <strong>contents</strong>:<br /><br /><strong>Product SKU</strong><br />contents: [<br />{id: 'SHBP', quantity: 1}<br />]<br /><br /><strong>Children SKUs</strong><br />contents: [<br />{id: 'SHBP-6-BL', quantity: 1},<br />{id: 'SHBP-7-BL', quantity: 1},<br />{id: 'SHBP-8-BL', quantity: 1}<br />]<br /><br /><strong>Children SKUs and Product SKU</strong><br />contents: [<br />{id: 'SHBP-6-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-7-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-8-BL', item_group_id: 'SHBP', quantity: 1}<br />]<br /><br/ >Examples with <strong>content_ids</strong>:<br /><br /><strong>Product SKU</strong><br />content_ids: ['SHBP']<br /><br /><strong>Children SKUs</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL']<br /><br /><strong>Children SKUs and Product SKU</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL'],<br />item_group_id: 'SHBP'","Examples with <strong>contents</strong>:<br /><br /><strong>Product SKU</strong><br />contents: [<br />{id: 'SHBP', quantity: 1}<br />]<br /><br /><strong>Children SKUs</strong><br />contents: [<br />{id: 'SHBP-6-BL', quantity: 1},<br />{id: 'SHBP-7-BL', quantity: 1},<br />{id: 'SHBP-8-BL', quantity: 1}<br />]<br /><br /><strong>Children SKUs and Product SKU</strong><br />contents: [<br />{id: 'SHBP-6-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-7-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-8-BL', item_group_id: 'SHBP', quantity: 1}<br />]<br /><br/ >Examples with <strong>content_ids</strong>:<br /><br /><strong>Product SKU</strong><br />content_ids: ['SHBP']<br /><br /><strong>Children SKUs</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL']<br /><br /><strong>Children SKUs and Product SKU</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL'],<br />item_group_id: 'SHBP'"
"Use product_group Instead of product (Bundle)","Use product_group Instead of product (Bundle)"
"For <strong>content_type</strong> use <strong>product_group</strong> instead of <strong>product</strong>. <strong>WARNING! See the tooltip!</strong>","For <strong>content_type</strong> use <strong>product_group</strong> instead of <strong>product</strong>. <strong>WARNING! See the tooltip!</strong>"
"This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Bundle Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>.""","This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Bundle Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>."""
"For Configurable Products Use","For Configurable Products Use"
"Select SKU you want to use for configurable products. See the tooltip.","Select SKU you want to use for configurable products. See the tooltip."
"Use product_group Instead of product (Configurable)","Use product_group Instead of product (Configurable)"
"This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Configurable Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>.""","This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Configurable Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>."""
"For Downloadable Products Use","For Downloadable Products Use"
"Select SKU you want to use for downloadable products. See the tooltip.","Select SKU you want to use for downloadable products. See the tooltip."
"Examples with <strong>contents</strong>:<br /><br /><strong>Product SKU</strong><br />contents: [<br />{id: 'SHBP-7-BL', quantity: 1}<br />]<br /><br /><strong>Product SKU and Parent SKU</strong><br />contents: [<br />{id: 'SHBP-7-BL', item_group_id: 'SHBP', quantity: 1}<br />]<br /><br/ >Examples with <strong>content_ids</strong>:<br /><br /><strong>Product SKU</strong><br />content_ids: ['SHBP-7-BL']<br /><br /><strong>Product SKU and Parent SKU</strong><br />content_ids: ['SHBP-7-BL'],<br />item_group_id: 'SHBP'","Examples with <strong>contents</strong>:<br /><br /><strong>Product SKU</strong><br />contents: [<br />{id: 'SHBP-7-BL', quantity: 1}<br />]<br /><br /><strong>Product SKU and Parent SKU</strong><br />contents: [<br />{id: 'SHBP-7-BL', item_group_id: 'SHBP', quantity: 1}<br />]<br /><br/ >Examples with <strong>content_ids</strong>:<br /><br /><strong>Product SKU</strong><br />content_ids: ['SHBP-7-BL']<br /><br /><strong>Product SKU and Parent SKU</strong><br />content_ids: ['SHBP-7-BL'],<br />item_group_id: 'SHBP'"
"For Grouped Products Use","For Grouped Products Use"
"Select SKU you want to use for grouped products. See the tooltip.","Select SKU you want to use for grouped products. See the tooltip."
"Examples with <strong>contents</strong>:<br /><br /><strong>Product SKU</strong><br />contents: [<br />{id: 'SHBP', quantity: 1}<br />]<br /><br /><strong>Children SKUs</strong><br />contents: [<br />{id: 'SHBP-6-BL', quantity: 1},<br />{id: 'SHBP-7-BL', quantity: 1},<br />{id: 'SHBP-8-BL', quantity: 1}<br />]<br /><br /><strong>Children SKUs and Product SKU</strong><br />contents: [<br />{id: 'SHBP-6-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-7-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-8-BL', item_group_id: 'SHBP', quantity: 1}<br />]<br /><br/ >Examples with <strong>content_ids</strong>:<br /><br /><strong>Product SKU</strong><br />content_ids: ['SHBP']<br /><br /><strong>Children SKUs</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL']<br /><br /><strong>Children SKUs and Product SKU</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL'],<br />item_group_id: 'SHBP'<br /><br />The <strong>Product SKU</strong> option is not recommended because of the nature of grouped products in Magento. From Magento documentation: ""Although they are presented as a group, each product in the group is purchased as a separate item. In the shopping cart, each item and the quantity purchased appears as a separate line item.""","Examples with <strong>contents</strong>:<br /><br /><strong>Product SKU</strong><br />contents: [<br />{id: 'SHBP', quantity: 1}<br />]<br /><br /><strong>Children SKUs</strong><br />contents: [<br />{id: 'SHBP-6-BL', quantity: 1},<br />{id: 'SHBP-7-BL', quantity: 1},<br />{id: 'SHBP-8-BL', quantity: 1}<br />]<br /><br /><strong>Children SKUs and Product SKU</strong><br />contents: [<br />{id: 'SHBP-6-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-7-BL', item_group_id: 'SHBP', quantity: 1},<br />{id: 'SHBP-8-BL', item_group_id: 'SHBP', quantity: 1}<br />]<br /><br/ >Examples with <strong>content_ids</strong>:<br /><br /><strong>Product SKU</strong><br />content_ids: ['SHBP']<br /><br /><strong>Children SKUs</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL']<br /><br /><strong>Children SKUs and Product SKU</strong><br />content_ids: ['SHBP-6-BL', 'SHBP-7-BL', 'SHBP-8-BL'],<br />item_group_id: 'SHBP'<br /><br />The <strong>Product SKU</strong> option is not recommended because of the nature of grouped products in Magento. From Magento documentation: ""Although they are presented as a group, each product in the group is purchased as a separate item. In the shopping cart, each item and the quantity purchased appears as a separate line item."""
"Use product_group Instead of product (Grouped)","Use product_group Instead of product (Grouped)"
"This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Grouped Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>.""","This option shoud be set to ""No"".<br />There is only one scenario when this option should be set to ""Yes"". That is when you select <strong>Product SKU</strong> for option <strong>For Grouped Products Use</strong>. Regarding <strong>content_type</strong> read this from Facebook documentation: ""If the IDs being passed in <strong>content_ids</strong> or <strong>contents</strong> parameter are IDs of products then the value should be <strong>product</strong>. If product group IDs are being passed, then the value should be <strong>product_group</strong>."""
"For Simple Products Use","For Simple Products Use"
"Select SKU you want to use for simple products. See the tooltip.","Select SKU you want to use for simple products. See the tooltip."
"For Virtual Products Use","For Virtual Products Use"
"Select SKU you want to use for virtual products. See the tooltip.","Select SKU you want to use for virtual products. See the tooltip."
"Use content_ids instead of contents","Use content_ids instead of contents"
"Use <strong>content_ids</strong> instead of <strong>contents</strong> for <strong>ViewContent</strong> event. <strong>See the tooltip.</strong>","Use <strong>content_ids</strong> instead of <strong>contents</strong> for <strong>ViewContent</strong> event. <strong>See the tooltip.</strong>"
"It is recommended to set this option to ""No"". The <strong>contents</strong> parameter is required for <strong>AddToCart</strong> and <strong>Purchase</strong> events. The <strong>ViewContent</strong> event can use <strong>contents</strong> or <strong>content_ids</strong> parameter. It is better to use <strong>contents</strong> but you can use <strong>content_ids</strong> if you want.","It is recommended to set this option to ""No"". The <strong>contents</strong> parameter is required for <strong>AddToCart</strong> and <strong>Purchase</strong> events. The <strong>ViewContent</strong> event can use <strong>contents</strong> or <strong>content_ids</strong> parameter. It is better to use <strong>contents</strong> but you can use <strong>content_ids</strong> if you want."
"For Global content_name Use","For Global content_name Use"
"Type Magento <strong>product attribute</strong> code you want to use for product global <strong>content_name</strong> field.","Type Magento <strong>product attribute</strong> code you want to use for product global <strong>content_name</strong> field."
"Example: name<br />Make sure all of your products have this attribute and all of your products have non-empty value for this attribute.<br />This option is for setting <strong>content_name</strong> outside <strong>contents</strong>. If you want to set <strong>content_name</strong> inside <strong>contents</strong> per each item then use <strong>Product Parameters to Attributes Mapping</strong> option and set this option to empty.","Example: name<br />Make sure all of your products have this attribute and all of your products have non-empty value for this attribute.<br />This option is for setting <strong>content_name</strong> outside <strong>contents</strong>. If you want to set <strong>content_name</strong> inside <strong>contents</strong> per each item then use <strong>Product Parameters to Attributes Mapping</strong> option and set this option to empty."
"For Global content_category Use","For Global content_category Use"
"Type Magento <strong>product attribute</strong> code you want to use for product global <strong>content_category</strong> field.","Type Magento <strong>product attribute</strong> code you want to use for product global <strong>content_category</strong> field."
"Example: product_category<br />Make sure all of your products have this attribute and all of your products have non-empty value for this attribute.<br />This option is for setting <strong>content_category</strong> outside <strong>contents</strong>. If you want to set <strong>content_category</strong> inside <strong>contents</strong> per each item then use <strong>Product Parameters to Attributes Mapping</strong> option and set this option to empty.","Example: product_category<br />Make sure all of your products have this attribute and all of your products have non-empty value for this attribute.<br />This option is for setting <strong>content_category</strong> outside <strong>contents</strong>. If you want to set <strong>content_category</strong> inside <strong>contents</strong> per each item then use <strong>Product Parameters to Attributes Mapping</strong> option and set this option to empty."
"For Global google_product_category Use","For Global google_product_category Use"
"Type Magento <strong>product attribute</strong> code you want to use for product global <strong>google_product_category</strong> field.","Type Magento <strong>product attribute</strong> code you want to use for product global <strong>google_product_category</strong> field."
"Example: google_product_category<br />Make sure all of your products have this attribute and all of your products have non-empty value for this attribute.<br />This option is for setting <strong>google_product_category</strong> outside <strong>contents</strong>. If you want to set <strong>google_product_category</strong> inside <strong>contents</strong> per each item then use <strong>Product Parameters to Attributes Mapping</strong> option and set this option to empty.","Example: google_product_category<br />Make sure all of your products have this attribute and all of your products have non-empty value for this attribute.<br />This option is for setting <strong>google_product_category</strong> outside <strong>contents</strong>. If you want to set <strong>google_product_category</strong> inside <strong>contents</strong> per each item then use <strong>Product Parameters to Attributes Mapping</strong> option and set this option to empty."
"Product Parameters to Attributes Mapping","Product Parameters to Attributes Mapping"
"If you want to add custom parameters to products. <strong>WARNING! Please see the tooltip.</strong>","If you want to add custom parameters to products. <strong>WARNING! Please see the tooltip.</strong>"
"This option depends on <strong>Move Parameters Outside Contents</strong> option. If this option is enabled the parameters will be moved outside contents or removed if contents have more than one item.<br />Example: gpc=gpc|color=color<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Facebook Pixel parameter and Magento product attribute are connected by = sign and pairs are separated by | sign.","This option depends on <strong>Move Parameters Outside Contents</strong> option. If this option is enabled the parameters will be moved outside contents or removed if contents have more than one item.<br />Example: gpc=gpc|color=color<br />As you can see the format is simple<br /><strong>param1=attribute1|param2=attribute2</strong><br /> Facebook Pixel parameter and Magento product attribute are connected by = sign and pairs are separated by | sign."
"Quote (Checkout Page - InitiateCheckout Event)","Quote (Checkout Page - InitiateCheckout Event)"
"Add Quote-Related Code To","Add Quote-Related Code To"
"Type page handles (full action names) where you want quote-related code. <strong>See the tooltip.</strong>","Type page handles (full action names) where you want quote-related code. <strong>See the tooltip.</strong>"
"The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, checkout_index_index<br />In this option you would type all handles where you want to add quote-related code.<br /><strong>This option only works for checkout page handles where quote object is set.</strong>","The page handles - Synonyms of the page type identifiers. Correspond to ""full action names"" of controller actions, for example, checkout_index_index<br />In this option you would type all handles where you want to add quote-related code.<br /><strong>This option only works for checkout page handles where quote object is set.</strong>"
